Timestamp,Value,Value_Classification,BTC_Closing,BTC_Volume,Hour,DayOfWeek
2018-02-01 00:00:00,30.0,Fear,9170.5400390625,9959400448,0,3
2018-02-01 01:00:00,30.0,Fear,9170.5400390625,9959400448,1,3
2018-02-01 02:00:00,30.0,Fear,9170.5400390625,9959400448,2,3
2018-02-01 03:00:00,30.0,Fear,9170.5400390625,9959400448,3,3
2018-02-01 04:00:00,30.0,Fear,9170.5400390625,9959400448,4,3
2018-02-01 05:00:00,30.0,Fear,9170.5400390625,9959400448,5,3
2018-02-01 06:00:00,30.0,Fear,9170.5400390625,9959400448,6,3
2018-02-01 07:00:00,30.0,Fear,9170.5400390625,9959400448,7,3
2018-02-01 08:00:00,30.0,Fear,9170.5400390625,9959400448,8,3
2018-02-01 09:00:00,30.0,Fear,9170.5400390625,9959400448,9,3
2018-02-01 10:00:00,30.0,Fear,9170.5400390625,9959400448,10,3
2018-02-01 11:00:00,30.0,Fear,9170.5400390625,9959400448,11,3
2018-02-01 12:00:00,30.0,Fear,9170.5400390625,9959400448,12,3
2018-02-01 13:00:00,30.0,Fear,9170.5400390625,9959400448,13,3
2018-02-01 14:00:00,30.0,Fear,9170.5400390625,9959400448,14,3
2018-02-01 15:00:00,30.0,Fear,9170.5400390625,9959400448,15,3
2018-02-01 16:00:00,30.0,Fear,9170.5400390625,9959400448,16,3
2018-02-01 17:00:00,30.0,Fear,9170.5400390625,9959400448,17,3
2018-02-01 18:00:00,30.0,Fear,9170.5400390625,9959400448,18,3
2018-02-01 19:00:00,30.0,Fear,9170.5400390625,9959400448,19,3
2018-02-01 20:00:00,30.0,Fear,9170.5400390625,9959400448,20,3
2018-02-01 21:00:00,30.0,Fear,9170.5400390625,9959400448,21,3
2018-02-01 22:00:00,30.0,Fear,9170.5400390625,9959400448,22,3
2018-02-01 23:00:00,30.0,Fear,9170.5400390625,9959400448,23,3
2018-02-02 00:00:00,15.0,Extreme Fear,8830.75,12726899712,0,4
2018-02-02 01:00:00,15.0,Extreme Fear,8830.75,12726899712,1,4
2018-02-02 02:00:00,15.0,Extreme Fear,8830.75,12726899712,2,4
2018-02-02 03:00:00,15.0,Extreme Fear,8830.75,12726899712,3,4
2018-02-02 04:00:00,15.0,Extreme Fear,8830.75,12726899712,4,4
2018-02-02 05:00:00,15.0,Extreme Fear,8830.75,12726899712,5,4
2018-02-02 06:00:00,15.0,Extreme Fear,8830.75,12726899712,6,4
2018-02-02 07:00:00,15.0,Extreme Fear,8830.75,12726899712,7,4
2018-02-02 08:00:00,15.0,Extreme Fear,8830.75,12726899712,8,4
2018-02-02 09:00:00,15.0,Extreme Fear,8830.75,12726899712,9,4
2018-02-02 10:00:00,15.0,Extreme Fear,8830.75,12726899712,10,4
2018-02-02 11:00:00,15.0,Extreme Fear,8830.75,12726899712,11,4
2018-02-02 12:00:00,15.0,Extreme Fear,8830.75,12726899712,12,4
2018-02-02 13:00:00,15.0,Extreme Fear,8830.75,12726899712,13,4
2018-02-02 14:00:00,15.0,Extreme Fear,8830.75,12726899712,14,4
2018-02-02 15:00:00,15.0,Extreme Fear,8830.75,12726899712,15,4
2018-02-02 16:00:00,15.0,Extreme Fear,8830.75,12726899712,16,4
2018-02-02 17:00:00,15.0,Extreme Fear,8830.75,12726899712,17,4
2018-02-02 18:00:00,15.0,Extreme Fear,8830.75,12726899712,18,4
2018-02-02 19:00:00,15.0,Extreme Fear,8830.75,12726899712,19,4
2018-02-02 20:00:00,15.0,Extreme Fear,8830.75,12726899712,20,4
2018-02-02 21:00:00,15.0,Extreme Fear,8830.75,12726899712,21,4
2018-02-02 22:00:00,15.0,Extreme Fear,8830.75,12726899712,22,4
2018-02-02 23:00:00,15.0,Extreme Fear,8830.75,12726899712,23,4
2018-02-03 00:00:00,40.0,Fear,9174.91015625,7263790080,0,5
2018-02-03 01:00:00,40.0,Fear,9174.91015625,7263790080,1,5
2018-02-03 02:00:00,40.0,Fear,9174.91015625,7263790080,2,5
2018-02-03 03:00:00,40.0,Fear,9174.91015625,7263790080,3,5
2018-02-03 04:00:00,40.0,Fear,9174.91015625,7263790080,4,5
2018-02-03 05:00:00,40.0,Fear,9174.91015625,7263790080,5,5
2018-02-03 06:00:00,40.0,Fear,9174.91015625,7263790080,6,5
2018-02-03 07:00:00,40.0,Fear,9174.91015625,7263790080,7,5
2018-02-03 08:00:00,40.0,Fear,9174.91015625,7263790080,8,5
2018-02-03 09:00:00,40.0,Fear,9174.91015625,7263790080,9,5
2018-02-03 10:00:00,40.0,Fear,9174.91015625,7263790080,10,5
2018-02-03 11:00:00,40.0,Fear,9174.91015625,7263790080,11,5
2018-02-03 12:00:00,40.0,Fear,9174.91015625,7263790080,12,5
2018-02-03 13:00:00,40.0,Fear,9174.91015625,7263790080,13,5
2018-02-03 14:00:00,40.0,Fear,9174.91015625,7263790080,14,5
2018-02-03 15:00:00,40.0,Fear,9174.91015625,7263790080,15,5
2018-02-03 16:00:00,40.0,Fear,9174.91015625,7263790080,16,5
2018-02-03 17:00:00,40.0,Fear,9174.91015625,7263790080,17,5
2018-02-03 18:00:00,40.0,Fear,9174.91015625,7263790080,18,5
2018-02-03 19:00:00,40.0,Fear,9174.91015625,7263790080,19,5
2018-02-03 20:00:00,40.0,Fear,9174.91015625,7263790080,20,5
2018-02-03 21:00:00,40.0,Fear,9174.91015625,7263790080,21,5
2018-02-03 22:00:00,40.0,Fear,9174.91015625,7263790080,22,5
2018-02-03 23:00:00,40.0,Fear,9174.91015625,7263790080,23,5
2018-02-04 00:00:00,24.0,Extreme Fear,8277.009765625,7073549824,0,6
2018-02-04 01:00:00,24.0,Extreme Fear,8277.009765625,7073549824,1,6
2018-02-04 02:00:00,24.0,Extreme Fear,8277.009765625,7073549824,2,6
2018-02-04 03:00:00,24.0,Extreme Fear,8277.009765625,7073549824,3,6
2018-02-04 04:00:00,24.0,Extreme Fear,8277.009765625,7073549824,4,6
2018-02-04 05:00:00,24.0,Extreme Fear,8277.009765625,7073549824,5,6
2018-02-04 06:00:00,24.0,Extreme Fear,8277.009765625,7073549824,6,6
2018-02-04 07:00:00,24.0,Extreme Fear,8277.009765625,7073549824,7,6
2018-02-04 08:00:00,24.0,Extreme Fear,8277.009765625,7073549824,8,6
2018-02-04 09:00:00,24.0,Extreme Fear,8277.009765625,7073549824,9,6
2018-02-04 10:00:00,24.0,Extreme Fear,8277.009765625,7073549824,10,6
2018-02-04 11:00:00,24.0,Extreme Fear,8277.009765625,7073549824,11,6
2018-02-04 12:00:00,24.0,Extreme Fear,8277.009765625,7073549824,12,6
2018-02-04 13:00:00,24.0,Extreme Fear,8277.009765625,7073549824,13,6
2018-02-04 14:00:00,24.0,Extreme Fear,8277.009765625,7073549824,14,6
2018-02-04 15:00:00,24.0,Extreme Fear,8277.009765625,7073549824,15,6
